(1:10.0,(2:4.0009999999999994,(3:0.6,((4:0.0755)#H1:0.22518859229823007::0.8917856713626061,(5:0.151,#H1:0.0755::0.10821432863739389):0.1496885922982301):0.2993114077017699):3.4009999999999994):5.9990000000000006); right taxa and direction

(1:10.0,((3:0.6,((4:0.0755)#H1:0.22398704600159985::0.8892075935514224,(5:0.151,#H1:0.0755::0.11079240644857762):0.14848704600159987):0.3005129539984001):3.4,2:4.0):6.0); right taxa and direction

(1:10.001,(2:4.0,(3:0.6,((5:0.075)#H1:0.22417865021082906::0.9063159694512996,(4:0.15,#H1:0.075::0.09368403054870045):0.14917865021082907):0.3008213497891709):3.4):6.0009999999999994); right taxa, wrong direction

(1:10.0,(2:4.001,(3:0.6,((5:0.0775)#H1:0.21998891378174157::0.8927244030578743,(4:0.155,#H1:0.0775::0.1072755969421257):0.14248891378174158):0.3025110862182584):3.4010000000000002):5.999); right taxa, wrong direction

(((3:0.6,((5:0.076)#H1:0.222287449710924::0.9024500505903992,(4:0.152,#H1:0.076::0.09754994940960078):0.14628744971092403):0.30171255028907595):3.4,2:4.0):6.0,1:10.0); right taxa, wrong direction

(1:10.001,((3:0.6,((5:0.0765)#H1:0.222492321474962::0.9215814290430703,(4:0.153,#H1:0.0765::0.07841857095692975):0.14599232147496202):0.30100767852503796):3.4,2:4.0):6.0009999999999994); right taxa, wrong direction

(1:10.001,(2:4.0,(3:0.6,((5:0.0805)#H1:0.22012504513590792::0.9030034433428806,(4:0.161,#H1:0.0805::0.09699655665711937):0.13962504513590793):0.29937495486409205):3.4):6.0009999999999994); right taxa, wrong direction

(((3:0.6,((5:0.08)#H1:0.21992715230022664::0.8773722223786681,(4:0.16,#H1:0.08::0.12262777762133194):0.13992715230022665):0.3000728476997733):3.4,2:4.0):6.0,1:10.0); right taxa, wrong direction

(1:10.0,((3:0.6,((4:0.0775)#H1:0.22203621501505416::0.8819660112501051,(5:0.155,#H1:0.0775::0.1180339887498949):0.14453621501505418):0.3004637849849458):3.4,2:4.0):6.0); right taxa and direction

((2:4.0,(3:0.6,((5:0.076)#H1:0.222287449710924::0.9143759002777427,(4:0.152,#H1:0.076::0.08562409972225728):0.14628744971092403):0.30171255028907595):3.4):6.0,1:10.0); right taxa, wrong direction

(1:10.0,(2:4.0,(3:0.6,((5:0.0775)#H1:0.2197487500629679::0.9121271536796313,(4:0.155,#H1:0.0775::0.08787284632036875):0.14224875006296792):0.30275124993703206):3.4):6.0); right taxa, wrong direction

(1:10.001,((3:0.6,((4:0.075)#H1:0.2246218176979844::0.8662589467382894,(5:0.15,#H1:0.075::0.1337410532617106):0.1496218176979844):0.3003781823020156):3.4,2:4.0):6.0009999999999994); right taxa and direction

((2:4.0,(3:0.6,((4:0.0785)#H1:0.21933347379318274::0.898127492912715,(5:0.157,#H1:0.0785::0.10187250708728507):0.14083347379318276):0.3021665262068172):3.4):6.0,1:10.0); right taxa and direction

(1:10.0,(2:4.001,(3:0.6,((5:0.075)#H1:0.22483561881769154::0.8797856713626062,(4:0.15,#H1:0.075::0.12021432863739383):0.14983561881769156):0.3001643811823084):3.4010000000000002):5.999); right taxa, wrong direction

(1:10.0,(2:4.0,(3:0.6,((5:0.0775)#H1:0.22114032657428473::0.8917856713626061,(4:0.155,#H1:0.0775::0.10821432863739389):0.14364032657428474):0.30135967342571524):3.4):6.0); right taxa, wrong direction

(((3:0.6,((5:0.0785)#H1:0.2214204019161921::0.865573727124711,(4:0.157,#H1:0.0785::0.13442627287528897):0.14292040191619212):0.30007959808380785):3.4,2:4.0):6.0,1:10.0); right taxa, wrong direction

(1:10.001,(2:4.0,(3:0.6,((4:0.0765)#H1:0.222492321474962::0.9215814290435458,(5:0.153,#H1:0.0765::0.07841857095645423):0.14599232147496202):0.30100767852503796):3.4):6.0009999999999994); right taxa and direction

(1:10.0,(2:4.0,(3:0.6,((5:0.0795)#H1:0.2204701096129637::0.8958787147734338,(4:0.159,#H1:0.0795::0.10412128522656618):0.14097010961296372):0.30002989038703626):3.4):6.0); right taxa, wrong direction

((2:4.0,(3:0.6,((5:0.076)#H1:0.2235961041366984::0.9068396962294796,(4:0.152,#H1:0.076::0.09316030377052043):0.1475961041366984):0.3004038958633016):3.4):6.0009999999999994,1:10.001); right taxa, wrong direction

((2:4.0,(3:0.6,((5:0.0765)#H1:0.222492321474962::0.9215814290434277,(4:0.153,#H1:0.0765::0.07841857095657233):0.14599232147496202):0.30100767852503796):3.4):6.0,1:10.0); right taxa, wrong direction

(1:10.0,((3:0.6,((4:0.0755)#H1:0.22428184595238515::0.9039818836552289,(5:0.151,#H1:0.0755::0.09601811634477109):0.14878184595238517):0.3002181540476148):3.4,2:4.0):6.0); right taxa and direction

(1:10.0,((3:0.6,((4:0.0775)#H1:0.2225667192382063::0.8841463511376041,(5:0.155,#H1:0.0775::0.11585364886239592):0.14506671923820633):0.29993328076179365):3.4,2:4.0):6.0); right taxa and direction

((2:4.0,(3:0.6,((4:0.0755)#H1:0.22208257794688585::0.8948699150280017,(5:0.151,#H1:0.0755::0.10513008497199827):0.14658257794688587):0.3024174220531141):3.4):6.0,1:10.0); right taxa and direction

(1:10.001,(2:4.0,(3:0.6,((5:0.075)#H1:0.22499253904398497::0.9270509831248422,(4:0.15,#H1:0.075::0.07294901687515776):0.149992539043985):0.300007460956015):3.4):6.0009999999999994); right taxa, wrong direction

((2:4.0,(3:0.6000000000000001,((5:0.0755)#H1:0.2227369908127449::0.8917856713626061,(4:0.151,#H1:0.0755::0.10821432863739389):0.1472369908127449):0.3017630091872552):3.4):6.0,1:10.0); right taxa, wrong direction

((2:4.0,(3:0.6,((5:0.076)#H1:0.2227948461767576::0.9414769789055499,(4:0.152,#H1:0.076::0.058523021094450026):0.14679484617675762):0.30120515382324237):3.4):6.0,1:10.0); right taxa, wrong direction

(1:10.0,(2:4.0,(3:0.6,((4:0.0755)#H1:0.22208257794688585::0.9167804732935938,(5:0.151,#H1:0.0755::0.0832195267064062):0.14658257794688587):0.3024174220531141):3.4):6.0); right taxa and direction

(1:10.0,(2:4.0009999999999994,(3:0.6,((4:0.0765)#H1:0.2241861020739157::0.9151502214292456,(5:0.153,#H1:0.0765::0.0848497785707544):0.14768610207391572):0.29931389792608426):3.4009999999999994):5.9990000000000006); right taxa and direction

(1:10.0,(2:4.0,(3:0.6,((5:0.076)#H1:0.222287449710924::0.9024500505930412,(4:0.152,#H1:0.076::0.09754994940695878):0.14628744971092403):0.30171255028907595):3.4):6.0); right taxa, wrong direction

(((3:0.6,((4:0.075)#H1:0.22187770618284774::0.9235747078856515,(5:0.15,#H1:0.075::0.07642529211434844):0.14687770618284776):0.3031222938171522):3.4,2:4.0):6.0,1:10.0); right taxa and direction

(1:10.0,(2:4.0,(3:0.6,((4:0.0765)#H1:0.21938807028796997::0.8970898942345801,(5:0.153,#H1:0.0765::0.10291010576541992):0.14288807028797):0.30411192971203):3.4):6.0); right taxa and direction

(1:10.0,(2:4.0,(3:0.6,((5:0.077)#H1:0.22269719323900017::0.8819660112501051,(4:0.154,#H1:0.077::0.1180339887498949):0.14569719323900018):0.3003028067609998):3.4):6.0); right taxa, wrong direction

(1:10.0,(2:4.0,(3:0.6,((5:0.0765)#H1:0.222492321474962::0.9270509831248422,(4:0.153,#H1:0.0765::0.07294901687515776):0.14599232147496202):0.30100767852503796):3.4):6.0); right taxa, wrong direction

((2:4.0,(3:0.6,((5:0.0815)#H1:0.21654042654185202::0.8983421889925953,(4:0.163,#H1:0.0815::0.10165781100740467):0.13504042654185203):0.30195957345814795):3.4):6.0,1:10.0); right taxa, wrong direction

(1:10.0,(2:4.0,(3:0.6,((5:0.0775)#H1:0.22290206500303827::0.9006450949765064,(4:0.155,#H1:0.0775::0.09935490502349369):0.1454020650030383):0.2995979349969617):3.4):6.0); right taxa, wrong direction

((2:4.0,(3:0.6,((4:0.0765)#H1:0.2242827517696956::0.8992334062867529,(5:0.153,#H1:0.0765::0.10076659371324714):0.1477827517696956):0.2992172482303044):3.4):6.0009999999999994,1:10.001); right taxa and direction

(1:10.0,(2:4.0009999999999994,(3:0.6,((5:0.0835)#H1:0.2173043585643522::0.9050960847796968,(4:0.167,#H1:0.0835::0.0949039152203032):0.13380435856435222):0.29919564143564775):3.4009999999999994):5.9990000000000006); right taxa, wrong direction

(1:10.0,(2:4.0,(3:0.6,((5:0.078)#H1:0.2199290899504669::0.9096114182599669,(4:0.156,#H1:0.078::0.09038858174003306):0.1419290899504669):0.30207091004953307):3.4):6.0); right taxa, wrong direction

(1:10.0,(2:4.0,(3:0.6,((4:0.0755)#H1:0.22208257794688585::0.9100214017494359,(5:0.151,#H1:0.0755::0.08997859825056409):0.14658257794688587):0.3024174220531141):3.4):6.0); right taxa and direction

(1:10.0,(2:4.001,(3:0.6,((4:0.076)#H1:0.222287449710924::0.8705806937408465,(5:0.152,#H1:0.076::0.12941930625915354):0.14628744971092403):0.30171255028907595):3.4010000000000002):5.999); right taxa and direction

(1:10.0,(2:4.0,(3:0.6,((4:0.079)#H1:0.22028976972546477::0.9270509831248422,(5:0.158,#H1:0.079::0.07294901687515776):0.14128976972546478):0.3007102302745352):3.4):6.0); right taxa, and direction

(1:10.001,(2:4.0,(3:0.601,((5:0.0755)#H1:0.22299575684436374::0.9125959557378501,(4:0.151,#H1:0.0755::0.08740404426214991):0.14749575684436375):0.30250424315563623):3.399):6.0009999999999994); right taxa, wrong direction

((2:4.0,(3:0.6,((4:0.0765)#H1:0.222492321474962::0.900932913529912,(5:0.153,#H1:0.0765::0.09906708647008795):0.14599232147496202):0.30100767852503796):3.4):6.0,1:10.0); right taxa and direction

